Epoch,Train Loss,Validation Loss,Validation BLEU
1,4.614064844108975,3.081311191831316,1.7710971788313885
2,2.8482503966468227,2.7019094058445523,3.06905315204489
3,2.5038173325974924,2.1863582134246826,6.438770732886429
4,1.97197532061832,1.7183455399104528,13.121343688019943
5,1.6876095391296586,1.534765601158142,16.35398555566237
6,1.537964594726752,1.4409161465508598,18.938375205788027
7,1.4388686293478266,1.3846398081098283,19.53084487675333
8,1.3644772547509343,1.3330028567995345,20.890462136624958
9,1.3075441845746458,1.3107823303767614,20.968709609260223
10,1.2590752878520595,1.282751304762704,22.032982182646432
11,1.2189621427353683,1.2713780914034163,21.651638381058735
12,1.184179403780411,1.251446281160627,21.7389546768457
13,1.1535734198316885,1.2503632477351598,22.048855098809977
14,1.1259682080081204,1.2392904588154383,21.339630719576927
15,1.101089102447884,1.2388338531766618,21.503977155076708
16,1.0779623071056652,1.2290394135883875,22.735051247923675
17,1.0570371621961847,1.2351817403520857,22.571360815355398
18,1.0378050488540653,1.2260802473340715,22.35834205198113
19,1.0200322607080068,1.2319723537990026,21.610095974991864
20,1.003894063495539,1.2317264080047607,23.09361006008639
