Epoch,Train Loss,Validation Loss
1,9.201087924325542,6.487858227321079
2,5.60622829388661,4.9061760902404785
3,4.320718286903041,4.094903673444476
4,3.7308037630312003,3.721698113850185
5,3.4028455117705523,3.5258168152400424
6,3.1835878335746233,3.4275880541120256
7,3.015159067834259,3.324878147670201
8,2.874416860045901,3.2745156288146973
9,2.7576084334379547,3.2584352493286133
10,2.6574654442489525,3.241403136934553
11,2.5354553757199816,3.2252037865774974
12,2.413196597129676,3.208169494356428
13,2.3012822464013554,3.2396276678357805
14,2.2040954349906583,3.2513934203556607
15,2.1132685295335807,3.2923082964760915
16,2.0333432794376542,3.308084658214024
17,1.9578895090491908,3.366593156542097
18,1.8894011883219337,3.383717026029314
19,1.8266784689229005,3.431800467627389
20,1.769734811630978,3.476858070918492
