Epoch,Train Loss,Validation Loss
1,6.151462372589111,4.194604056222098
2,3.7441056255340577,3.4544905594417026
3,3.3204227546691896,3.2509311267307828
4,3.125875893783569,3.09186019216265
5,3.012436366271973,3.046520948410034
6,2.934125033187866,3.0012028217315674
7,2.8763716766357423,2.965151854923793
8,2.8301133209228517,2.958486352648054
9,2.7931098030090333,2.9324207305908203
10,2.763313199234009,2.914802687508719
11,2.735888641357422,2.9147841589791432
12,2.7113940563201906,2.8981193474360873
13,2.689718132400513,2.884969643184117
14,2.6703457702636717,2.8896007537841797
15,2.654208628463745,2.873303617749895
16,2.6381388263702394,2.8641815526144847
17,2.625506297683716,2.8746466636657715
18,2.6111074153900145,2.857644592012678
19,2.5995761840820313,2.856640032359532
20,2.5895061462402342,2.8609890597207204
