Epoch,Train Loss,Validation Loss
1,9.234778413347378,6.474672181265695
2,5.7342557390784,5.223122732979911
3,4.635926398502034,4.319109984806606
4,4.005598962686624,3.927897112710135
5,3.6579180477531095,3.6985720566340854
6,3.4341587048427313,3.5684577396937778
7,3.2802052194145834,3.4732773303985596
8,3.158049112672259,3.404657942908151
9,3.0615271580447057,3.3578551837376187
10,2.978970854145706,3.3273327691214427
11,2.892798979570911,3.283918619155884
12,2.810114904573769,3.2676030567714145
13,2.735168207982543,3.2559822968074252
14,2.6664136731700534,3.2406109741755893
15,2.606491784381259,3.2509941714150563
16,2.5534973023044074,3.262143782206944
17,2.506133939050565,3.265432732445853
18,2.462311035508563,3.2732727187020436
19,2.4209947039367288,3.2774262768881663
20,2.3820377732538116,3.2850430692945207
